Word	Katakana	Emotion	
首をすくめる	クビヲスクメル	ふ怖	
曇る	クモル	鬱	
苦悶	クモン	苦鬱	
悔しい	クヤシイ	悔	
悔しがる	クヤシガル	悔	
悔しさ	クヤシサ	悔	
悔し泣き	クヤシナキ	悔	
悔し涙	クヤシナミダ	悔	
悔み	クヤミ	悔	
悔む	クヤム	悔	
くよくよ	クヨクヨ	心	
暗い	クライ	鬱	
狂い怒る	クルイオコル	怒	
苦しい	クルシイ	苦	
苦しさ	クルシサ	苦	
苦しみ	クルシミ	苦	
苦しみ悶える	クルシミモダエル	苦	
苦しむ	クルシム	苦	
苦労	クロウ	苦	
具合が悪い	グアイガワルイ	辛苦	
具合悪い	グアイワルイ	辛苦	
愚図愚図	グズグズ	不	
愚図る	グズル	不	
ぐっと来る	グットクル	動	
敬愛	ケイアイ	尊親	
慶賀	ケイガ	喜	
慶祝	ケイシュク	喜	
慶する	ケイスル	喜	
傾倒	ケイトウ	尊	
敬服	ケイフク	尊	
敬慕	ケイボ	尊	
気圧される	ケオサレル	恐	
汚らわしい	ケガラワシイ	嫌Ｆ	
毛嫌い	ケギライ	嫌	
気色ばむ	ケシキバム	怒	
懸想	ケソウ	好親	
気怠い	ケダルイ	怠	
血相を変える	ケッソウヲカエル	怒	
血涙	ケツルイ	悲怒	
懸念	ケネン	心ふ	
けばけばしい	ケバケバシイ	嫌Ｆ	
煙い	ケムイ	苦Ｆ	
煙たい	ケムタイ	苦Ｆ	
けろっ	ケロッ	穏	
けろり	ケロリ	穏	
慊焉	ケンエン	不	
倦厭	ケンエン	不	
嫌悪	ケンオ	嫌憎	
嫌悪感	ケンオカン	嫌憎	
嫌忌	ケンキ	嫌Ｆ	
倦怠	ケンタイ	不	
倦怠感	ケンタイカン	怠	
権幕	ケンマク	興	
激越	ゲキエツ	興	
激語	ゲキゴ	興	
激賞	ゲキショウ	喜	
激情	ゲキジョウ	興	
激する	ゲキスル	興	
激怒	ゲキド	怒	
激憤	ゲキフン	怒不	
逆鱗に触れる	ゲキリンニフレル	怒	
げっ	ゲッ	驚困	
激昂	ゲッコウ	怒興	
げっそり	ゲッソリ	辛苦	
下品	ゲヒン	嫌Ｆ	
下劣	ゲレツ	嫌Ｆ	
元気	ゲンキ	気	
減退	ゲンタイ	辛苦	
げんなり	ゲンナリ	不嫌	
