Word	Katakana	Emotion	
興醒め	キョウザメ	不	
興趣	キョウシュ	楽	
郷愁	キョウシュウ	安親	
恐縮	キョウシュク	恐怖	
興じる	キョウジル	楽安	
驚嘆	キョウタン	驚	
驚天動地	キョウテンドウチ	驚	
驚倒	キョウトウ	驚	
恐怖	キョウフ	怖	
驚怖	キョウフ	怖驚	
恐怖感	キョウフカン	怖	
凶暴	キョウボウ	嫌不	
興味深い	キョウミブカイ	興好	
享楽	キョウラク	楽	
狂恋	キョウレン	好	
虚心坦懐	キョシンタンカイ	穏	
虚脱感	キョダツカン	鬱	
きょときょと	キョトキョト	ふ怖興	
きょとんとする	キョトントスル	驚	
虚無	キョム	寂悲	
嫌い	キライ	嫌	
嫌う	キラウ	嫌	
気楽	キラク	安	
気を腐らせる	キヲクサラセル	鬱	
気を呑まれる	キヲノマレル	悔	
欣快	キンカイ	喜	
欣喜	キンキ	喜	
欣喜雀躍	キンキジャクヤク	喜	
欣欣	キンキン	喜	
欣幸	キンコウ	幸喜	
欣然	キンゼン	喜	
緊張	キンチョウ	緊	
緊張感	キンチョウカン	緊	
緊張がほどける	キンチョウガホドケル	穏	
緊迫	キンパク	緊	
欣慕	キンボ	喜尊	
欣躍	キンヤク	喜	
疑懼	ギク	ふ心怖	
ぎくっ	ギクッ	驚	
ぎくり	ギクリ	驚	
ぎっくり	ギックリ	驚	
義憤	ギフン	怒	
ぎゃあ	ギャア	驚怖	
逆上	ギャクジョウ	怒	
仰天	ギョウテン	驚	
御慶	ギョケイ	祝	
ぎょっとする	ギョットスル	怖	
苦	ク	苦	
悔い	クイ	悔	
悔いる	クイル	悔	
空虚	クウキョ	寂悲	
臭い	クサイ	不	
腐る	クサル	鬱	
くしゃくしゃな顔	クシャクシャナカオ	喜	
苦笑	クショウ	不	
苦渋	クジュウ	苦悩	
くすくす	クスクス	楽安	
くすぐったい	クスグッタイ	安恥	
くだらない	クダラナイ	不あ	
口煩い	クチウルサイ	不	
口惜しい	クチオシイ	悔残	
くちぎたない	クチギタナイ	不Ｆ	
唇を噛む	クチビルオカム	悔怒	
くちやかましい	クチヤカマシイ	不	
苦衷	クチュウ	苦辛	
喰って掛かる	クッテカカル	怒不	
苦痛	クツウ	苦悩	
屈辱	クツジョク	悔恥	
屈辱感	クツジョクカン	悔	
寛ぎ	クツロギ	安穏	
寛ぐ	クツログ	安穏	
寛げる	クツロゲル	安穏	
くどい	クドイ	不	
苦悩	クノウ	苦悩	
首っ丈	クビッタケ	好	
首をすくめる	クビヲスクメル	怖	
曇る	クモル	ふ悲鬱心	
苦悶	クモン	苦心ふ	
悔しい	クヤシイ	悔	
悔しがる	クヤシガル	悔	
悔しさ	クヤシサ	悔	
悔し泣き	クヤシナキ	悔	
悔し涙	クヤシナミダ	悔	
悔み	クヤミ	悔	
悔む	クヤム	悔	
くよくよ	クヨクヨ	ふ心	
暗い	クライ	不鬱	
