Word	Katakana	Emotion	
ぎくっ	ギクッ	驚	
ぎくり	ギクリ	驚	
ぎっくり	ギックリ	驚	
義憤	ギフン	怒	
ぎゃあ	ギャア	苦驚怖	
逆上	ギャクジョウ	怒	
仰天	ギョウテン	驚	
御慶	ギョケイ	祝	
ぎょっとする	ギョットスル	驚	
苦	ク	苦	
悔い	クイ	悔	
悔いる	クイル	悔	
空虚	クウキョ	失	
臭い	クサイ	Ｆ	
腐る	クサル	Ｆ	
くしゃくしゃな顔	クシャクシャナカオ	悲	
苦笑	クショウ	Ｆ	
苦渋	クジュウ	困苦	
くすくす	クスクス	喜	
くすぐったい	クスグッタイ	喜	
くだらない	クダラナイ	見嫌	
口煩い	クチウルサイ	嫌	
口惜しい	クチオシイ	残悔	
くちぎたない	クチギタナイ	Ｆ	
唇を噛む	クチビルオカム	悔怒	
くちやかましい	クチヤカマシイ	嫌Ｆ	
苦衷	クチュウ	苦	
喰って掛かる	クッテカカル	怒	
苦痛	クツウ	苦	
屈辱	クツジョク	悔	
屈辱感	クツジョクカン	悔	
寛ぎ	クツロギ	穏	
寛ぐ	クツログ	穏	
寛げる	クツロゲル	穏	
くどい	クドイ	嫌	
苦悩	クノウ	苦	
首っ丈	クビッタケ	好興	
首をすくめる	クビヲスクメル	怖	
曇る	クモル	困悩	
苦悶	クモン	苦	
悔しい	クヤシイ	失	
悔しがる	クヤシガル	悔	
悔しさ	クヤシサ	悔	
悔し泣き	クヤシナキ	悔	
悔し涙	クヤシナミダ	悔	
悔み	クヤミ	悔	
悔む	クヤム	悔	
くよくよ	クヨクヨ	心悩	
暗い	クライ	心悩	
狂い怒る	クルイオコル	怒	
苦しい	クルシイ	苦	
苦しさ	クルシサ	苦	
苦しみ	クルシミ	苦	
苦しみ悶える	クルシミモダエル	苦	
苦しむ	クルシム	苦	
苦労	クロウ	辛	
具合が悪い	グアイガワルイ	Ｆ	
具合悪い	グアイワルイ	Ｆ	
愚図愚図	グズグズ	嫌	
愚図る	グズル	嫌困	
ぐっと来る	グットクル	動	
敬愛	ケイアイ	尊	
慶賀	ケイガ	祝	
慶祝	ケイシュク	祝	
慶する	ケイスル	祝	
傾倒	ケイトウ	好	
敬服	ケイフク	尊	
敬慕	ケイボ	尊	
気圧される	ケオサレル	怖	
汚らわしい	ケガラワシイ	嫌	
毛嫌い	ケギライ	嫌	
気色ばむ	ケシキバム	怒	
懸想	ケソウ	好	
気怠い	ケダルイ	怠	
血相を変える	ケッソウヲカエル	怒	
血涙	ケツルイ	悲怒	
懸念	ケネン	心	
けばけばしい	ケバケバシイ	嫌	
煙い	ケムイ	Ｆ	
煙たい	ケムタイ	Ｆ	
けろっ	ケロッ	楽	
けろり	ケロリ	楽	
慊焉	ケンエン	不気	
倦厭	ケンエン	Ｆ怠	
嫌悪	ケンオ	嫌	
嫌悪感	ケンオカン	嫌	
嫌忌	ケンキ	嫌	
倦怠	ケンタイ	嫌	
倦怠感	ケンタイカン	怠	
権幕	ケンマク	興	
激越	ゲキエツ	興	
激語	ゲキゴ	興	
激賞	ゲキショウ	興	
激情	ゲキジョウ	興	
激する	ゲキスル	興	
激怒	ゲキド	怒	
激憤	ゲキフン	怒	
逆鱗に触れる	ゲキリンニフレル	怒	
げっ	ゲッ	驚焦	
激昂	ゲッコウ	怒	
げっそり	ゲッソリ	失怠	
下品	ゲヒン	嫌	
下劣	ゲレツ	嫌	
元気	ゲンキ	気	
減退	ゲンタイ	失	
げんなり	ゲンナリ	失怠	
幻滅	ゲンメツ	失	
恋	コイ	好	
恋い焦がれる	コイコガレル	苦好	
恋心	コイゴコロ	好	
恋しい	コイシイ	好	
恋しさ	コイシサ	好	
恋する	コイスル	好	
冀う	コイネガウ	願	
恋う	コウ	好	
厚意	コウイ	親	
好意	コウイ	好	
光栄	コウエイ	気恐	
厚恩	コウオン	感	
後悔	コウカイ	悔	
交歓	コウカン	親	
好感	コウカン	好	
慷慨	コウガイ	怒	
好機	コウキ	喜	
耿耿	コウコウ	鬱心	
恍惚	コウコツ	好興	
恍惚感	コウコツカン	好興	
厚志	コウシ	感	
昂進	コウシン	興	
厚情	コウジョウ	感	
困じる	コウジル	困	
困ずる	コウズル	困	
昂然	コウゼン	誇	
浩然	コウゼン	安穏	
紅潮	コウチョウ	恥	
幸福	コウフク	幸	
幸福感	コウフクカン	幸	
公憤	コウフン	怒	
興奮	コウフン	興	
昂揚	コウヨウ	興	
荒涼	コウリョウ	失	
紅涙	コウルイ	悲	
小煩い	コウルサイ	Ｆ	
声を荒立てる	コエオアラダテル	興	
声が潤む	コエガウルム	悲	
小躍り	コオドリ	喜	
焦がれる	コガレル	苦	
小汚い	コギタナイ	嫌	
酷悪	コクアク	嫌	
焦げ臭い	コゲクサイ	Ｆ	
心地良い	ココチヨイ	安穏	
心地良さ	ココチヨサ	安穏	
心憂い	ココロウレイ	鬱	
心後れ	ココロオクレ	鬱	
心悲しい	ココロカナシイ	悲	
心悲しさ	ココロカナシサ	悲	
心が痛む	ココロガイタム	苦	
心が動かされる	ココロガウゴカサレル	動	
心が重い	ココロガオモイ	苦悩	
心懸かり	ココロガカリ	悩	
心が傷付く	ココロガキズツク	苦	
心が傷付けられる	ココロガキズツケラレル	苦	
心が弾む	ココロガハズム	楽喜	
心が張り詰める	ココロガハリツメル	緊	
心が細る	ココロガホソル	悩	
心苦しい	ココログルシイ	苦	
心苦しさ	ココログルシサ	苦	
心淋しい	ココロサビシイ	寂	
心遣い	ココロズカイ	心	
心強い	ココロズヨイ	安穏	
心憎い	ココロニクイ	憎	
心の痛み	ココロノイタミ	辛苦	
心の傷	ココロノキズ	辛苦	
心残り	ココロノコリ	ふ	
心細い	ココロボソイ	ふ	
心細さ	ココロボソサ	ふ	
心持ちが好くない	ココロモチガヨクナイ	Ｆ	
心持ちが悪い	ココロモチガワルイ	Ｆ	
心許ない	ココロモトナイ	ふ	
心安い	ココロヤスイ	親	
心行く	ココロユク	気	
快い	ココロヨイ	気	
快く思わない	ココロヨクオモワナイ	嫌	
心を奪われる	ココロヲウバワレル	好	
心を砕く	ココロヲクダク	苦	
心を遣る	ココロヲヤル	心気	
小淋しい	コサビシイ	寂	
小賢しい	コザカシイ	嫌	
腰を抜かす	コシオヌカス	驚	
小癪	コシャク	嫌	
小突かれる	コズカレル	驚	
姑息	コソク	嫌	
こそばゆい	コソバユイ	喜	
小面憎い	コヅラニクイ	嫌憎	
孤独	コドク	寂	
孤独感	コドクカン	寂	
小憎らしい	コニクラシイ	嫌憎	
好ましい	コノマシイ	好	
好ましさ	コノマシサ	好	
好まない	コノマナイ	嫌	
好み	コノミ	好	
好む	コノム	好	
困り切る	コマリキル	困	
困り抜く	コマリヌク	困	
困り果てる	コマリハテル	困	
困る	コマル	困	
小難しい	コムズカシイ	困	
小やかましい	コヤカマシイ	嫌	
こらぁ	コラァ	怒	
懲り懲り	コリゴリ	あ	
怖	コワ	怖	
怖い	コワイ	怖	
恐い	コワイ	怖	
怖がる	コワガル	怖	
怖怖	コワゴワ	怖	
恐恐	コワゴワ	怖	
怖さ	コワサ	怖	
強張る	コワバル	緊怖	
困却	コンキャク	困	
困窮	コンキュウ	困	
困苦	コンク	困苦	
困惑	コンワク	困	
合歓	ゴウカン	喜	
号泣	ゴウキュウ	悲	
号哭	ゴウコク	悲	
